OSEBuildingID,BuildingType,Neighborhood,BuildingAge,NumberofBuildings,NumberofFloors,PropertyGFAParking,PropertyGFABuilding(s),PrimaryProperty,LargestPropertyUseTypeGFA,SecondLargest,SecondLargestPropertyUseTypeGFA,ThirdLargest,ThirdLargestPropertyUseTypeGFA,NumberPropertyUseType,harvesine_distance,ENERGYSTARScore,SiteEnergyUse(kBtu)
536,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,60,1.0,3,0,94470,STORAGE,94470.0,UNDEFINED,,UNDEFINED,,1,2.8967811284093674,,1000796.875
538,NONRESIDENTIAL,DOWNTOWN,14,1.0,10,38186,143508,OFFICE AND BUSINESS,150840.0,PARKING,26946.0,OTHER SERVICES AND FACILITIES,2155.0,3,0.4928742439048925,88.0,7637986.0
539,NONRESIDENTIAL,NORTHEAST,29,1.0,2,0,69492,RETAIL AND PERSONAL SERVICES,69800.0,OTHER SERVICES AND FACILITIES,0.0,UNDEFINED,,1,3.8922677080869765,100.0,318962.8125
540,NONRESIDENTIAL,GREATER DUWAMISH,50,1.0,1,0,22780,STORAGE,22780.0,UNDEFINED,,UNDEFINED,,1,4.052971910068666,33.0,402051.3125
543,NONRESIDENTIAL,GREATER DUWAMISH,49,1.0,1,0,124472,STORAGE,124423.0,PARKING,0.0,UNDEFINED,,2,4.447684158462277,62.0,5464762.0
774,NONRESIDENTIAL,DOWNTOWN,46,1.0,22,98556,129000,OFFICE AND BUSINESS,227556.0,PARKING,77887.79688,UNDEFINED,,2,0.1444733740348497,95.0,8493420.0
544,NONRESIDENTIAL,GREATER DUWAMISH,49,1.0,1,0,50065,STORAGE,49918.0,PARKING,0.0,UNDEFINED,,2,4.447684158462277,72.0,1529510.25
545,NONRESIDENTIAL,GREATER DUWAMISH,47,1.0,1,0,57540,STORAGE,57540.0,UNDEFINED,,UNDEFINED,,1,4.144017599124378,26.0,2582687.0
546,NONRESIDENTIAL,GREATER DUWAMISH,50,1.0,1,0,85400,STORAGE,85400.0,UNDEFINED,,UNDEFINED,,1,3.9861078259561733,49.0,1536998.25
547,NONRESIDENTIAL,GREATER DUWAMISH,50,1.0,1,0,55700,STORAGE,55700.0,UNDEFINED,,UNDEFINED,,1,3.945306992559443,63.0,519806.0938
548,NONRESIDENTIAL,GREATER DUWAMISH,52,1.0,1,0,53250,OFFICE AND BUSINESS,52759.0,PARKING,0.0,UNDEFINED,,2,3.9096408032758188,96.0,1794187.25
549,NONRESIDENTIAL,MAGNOLIA / QUEEN ANNE,29,1.0,6,28427,50245,OFFICE AND BUSINESS,78672.0,UNDEFINED,,UNDEFINED,,1,1.48992468932284,98.0,2179719.75
550,NONRESIDENTIAL,NORTHWEST,30,1.0,3,0,64660,STORAGE,64660.0,UNDEFINED,,UNDEFINED,,1,7.38590106696311,89.0,325513.0
551,NONRESIDENTIAL,EAST,89,1.0,2,19928,55916,MIXED USE,28442.0,OFFICE AND BUSINESS,28441.0,PARKING,18961.0,3,0.9379494704007845,,3684188.5
552,NONRESIDENTIAL,GREATER DUWAMISH,48,1.0,1,0,161678,STORAGE,162425.0,UNDEFINED,,UNDEFINED,,1,2.4932904818981982,25.0,9357230.0
553,NONRESIDENTIAL,GREATER DUWAMISH,67,1.0,1,0,101101,STORAGE,101101.0,UNDEFINED,,UNDEFINED,,1,2.5867967036333455,1.0,21795830.0
554,NONRESIDENTIAL,GREATER DUWAMISH,36,1.0,1,0,52613,STORAGE,59504.0,UNDEFINED,,UNDEFINED,,1,2.483598706165175,80.0,1061458.25
555,NONRESIDENTIAL,GREATER DUWAMISH,76,1.0,1,0,56608,OTHER SERVICES AND FACILITIES,45340.0,OFFICE AND BUSINESS,11520.0,UNDEFINED,,2,2.648817942626205,,5094197.0
556,NONRESIDENTIAL,GREATER DUWAMISH,63,1.0,1,0,104099,STORAGE,100000.0,OFFICE AND BUSINESS,4099.0,PARKING,0.0,3,2.7502278145589028,,17695420.0
557,NONRESIDENTIAL,NORTHWEST,13,1.0,1,7450,50734,FOOD AND BEVERAGE,51722.0,PARKING,0.0,UNDEFINED,,2,6.065103130358972,41.0,14715262.0
558,NONRESIDENTIAL,NORTH,36,1.0,1,0,58480,FOOD AND BEVERAGE,44431.0,UNDEFINED,,UNDEFINED,,1,8.82263831275987,37.0,11054535.0
561,NONRESIDENTIAL,LAKE UNION,11,1.0,6,124800,211900,OFFICE AND BUSINESS,217977.0,PARKING,4569.0,RETAIL AND PERSONAL SERVICES,0.0,3,0.9747854185938649,95.0,9058916.0
562,NONRESIDENTIAL,LAKE UNION,20,1.0,4,159994,104014,RETAIL AND PERSONAL SERVICES,98863.0,UNDEFINED,,UNDEFINED,,1,0.9566238445883801,42.0,9937707.0
563,NONRESIDENTIAL,CENTRAL,102,1.0,2,0,62220,OFFICE AND BUSINESS,60676.0,PARKING,13780.0,OTHER SERVICES AND FACILITIES,1324.0,3,1.3596814626717981,32.0,5444253.5
